nohup: ignoring input
range(0, 160)
Now: j= 33, i=186 | Poisson
Now: j= 33, i=201 | Poisson
Now: j= 33, i=202 | Poisson
Now: j= 33, i=203 | Poisson
Now: j= 33, i=204 | Poisson
Now: j= 33, i=205 | Poisson
Now: j= 34, i=116 | Poisson
Now: j= 34, i=117 | Poisson
Now: j= 34, i=118 | Poisson
Now: j= 34, i=119 | Poisson
Now: j= 34, i=120 | Poisson
Now: j= 34, i=121 | Poisson
Now: j= 34, i=122 | Poisson
Now: j= 34, i=123 | Poisson
Now: j= 34, i=124 | Poisson
Now: j= 34, i=125 | Poisson
Now: j= 34, i=126 | Poisson
Now: j= 34, i=127 | Poisson
Now: j= 34, i=128 | Poisson
Now: j= 34, i=129 | Poisson
Now: j= 34, i=130 | Poisson
Now: j= 34, i=131 | Poisson
Now: j= 34, i=132 | Poisson
Now: j= 34, i=133 | Poisson
Now: j= 34, i=134 | Poisson
Now: j= 34, i=135 | Poisson
Now: j= 34, i=136 | Poisson
Now: j= 34, i=137 | Poisson
Now: j= 34, i=138 | Poisson
Now: j= 34, i=139 | Poisson
Now: j= 34, i=140 | Poisson
Now: j= 34, i=141 | Poisson
Now: j= 34, i=142 | Poisson
Now: j= 34, i=143 | Poisson
Now: j= 34, i=144 | Poisson
Now: j= 34, i=145 | Poisson
Now: j= 34, i=146 | Poisson
Now: j= 34, i=147 | Poisson
Now: j= 34, i=148 | Poisson
Now: j= 34, i=149 | Poisson
Now: j= 34, i=150 | Poisson
Now: j= 34, i=151 | Poisson
Now: j= 34, i=152 | Poisson
Now: j= 34, i=153 | Poisson
Now: j= 34, i=154 | Poisson
Now: j= 34, i=155 | Poisson
Now: j= 34, i=156 | Poisson
Now: j= 34, i=157 | Poisson
Now: j= 34, i=158 | Poisson
Now: j= 34, i=159 | Poisson
Now: j= 34, i=160 | Poisson
Now: j= 34, i=161 | Poisson
Now: j= 34, i=162 | Poisson
Now: j= 34, i=163 | Poisson
Now: j= 34, i=164 | Poisson
Now: j= 34, i=165 | Poisson
Now: j= 34, i=166 | Poisson
Now: j= 34, i=167 | Poisson
Now: j= 34, i=168 | Poisson
Now: j= 34, i=169 | Poisson
Now: j= 34, i=170 | Poisson
Now: j= 34, i=171 | Poisson
Now: j= 34, i=172 | Poisson
Now: j= 34, i=173 | Poisson
Now: j= 34, i=174 | Poisson
Now: j= 34, i=175 | Poisson
Now: j= 34, i=176 | Poisson
Now: j= 34, i=177 | Poisson
